Território da Cidadania;Internações;AIH aprovadas;Valor total;Valor serviços hospitalares;Val serv hosp - compl federal;Val serv hosp - compl gestor;Valor serviços profissionais;Val serv prof - compl federal;Val serv prof - compl gestor;Valor médio AIH;Valor médio intern;Dias permanência;Média permanência;Óbitos;Taxa mortalidade
001 Açu-Mossoró - RN;25340;25404;50355634,93;37780123,43;287141,18;123040,52;11986799,95;123040,52;28779,03;1982,19;1987,2;125367;4,9;1259;4,97
002 Agreste Meridional - PE;37057;37165;48733179,75;37566544,41;225301,47;208,57;10807648,07;208,57;-;1311,27;1315,09;175610;4,7;1582;4,27
004 Alto Acre e Capixaba - AC;6255;6260;5190165,35;4017484,31;-;-;1172681,04;-;-;829,1;829,76;27838;4,5;201;3,21
005 Alto Jequitinhonha - MG;27065;27154;36364461,06;28914591,2;167160,08;427,52;7212717;427,52;425,76;1339,19;1343,6;111850;4,1;899;3,32
006 Alto Juruá - AM;6175;6175;3794881,45;2919443,45;-;-;875438;-;-;614,56;614,56;20854;3,4;98;1,59
007 Alto Rio Pardo - MG;17400;17400;22943609,2;17917822,61;278919,05;-;4612514,69;-;27;1318,6;1318,6;65817;3,8;729;4,19
008 Alto Sertão - SE;6762;6796;11059440,25;8144436,52;248627,12;-;2530980,51;-;-;1627,35;1635,53;34099;5;306;4,53
016 Baixada Cuiabana - MT;55681;56208;93705526,85;74734004,58;153,31;-;18971185,05;-;-;1667,12;1682,9;307524;5,5;2238;4,02
017 Baixo Amazonas - AM;16190;16190;9739353,22;7386169,46;-;-;2353183,76;-;-;601,57;601,57;60594;3,7;358;2,21
018 Baixo Amazonas - PA;42151;42151;35924856,29;27578163,33;344916,79;-;7696104,06;-;118705,98;852,29;852,29;177647;4,2;1367;3,24
019 Baixo Araguaia - MT;11197;11225;8778811,23;6818122,68;1060,36;-;1959003,35;-;-;782,08;784,03;37250;3,3;241;2,15
020 Baixo Parnaíba - MA;25950;26090;21927950,96;16881009,72;124500,41;-;4869531,09;-;-;840,47;845,01;104602;4;488;1,88
021 Baixo Sul - BA;24224;24254;26308003,06;19006957,94;895907,85;-;5980982,15;-;-;1084,69;1086,03;82485;3,4;690;2,85
022 Bico do Papagaio - TO;9404;9405;11175735,51;8057762,64;250104,3;-;2724921,11;-;-;1188,28;1188,4;39774;4,2;284;3,02
024 Borborema - PB;43551;44688;63858654,71;47681389,77;1882145,38;-;13250156,66;-;-;1428,99;1466,3;250844;5,8;1995;4,58
025 Cantuquiriguaçu - PR;22823;23147;32769836,81;25884420,24;198665,5;-;6560484,85;-;-;1415,73;1435,83;80275;3,5;742;3,25
026 Caparaó - ES;15928;15983;26194690,27;20914582,4;21293,67;-;5245666,61;-;-;1638,91;1644,57;80137;5;771;4,84
027 Cariri Ocidental - PB;9357;9443;10600314,94;7871977,67;305934,88;-;2235146,93;-;-;1122,56;1132,88;46120;4,9;437;4,67
028 Carnaubais - PI;10425;10474;12771932,56;9691812,7;191405,51;-;2796432,52;-;-;1219,39;1225,13;54530;5,2;443;4,25
029 Central - RO;22628;22628;22161634,62;17745253,36;4647,71;1817,84;4408223,75;1817,84;203;979,39;979,39;92258;4,1;745;3,29
031 Chapada Diamantina - BA;29765;29795;29872833,28;22755878,76;535238,32;191,1;6325028,98;191,1;37;1002,61;1003,62;112593;3,8;937;3,15
032 Sertão do Apodi - RN;10663;10679;18021074,07;13100197,83;172028,32;423510,91;4158329,66;423510,91;74299,92;1687,52;1690,06;44834;4,2;440;4,13
033 Meio Oeste Contestado - SC;26701;26713;44644587,62;34586688,68;748868,74;-;8903721,97;-;-;1671,27;1672,02;110371;4,1;981;3,67
034 Cocais - MA;54028;54346;56631902,89;44514726,12;1263,16;-;12115419,67;-;-;1042,06;1048,2;259830;4,8;1982;3,67
035 Cone Sul - MS;12505;12531;13226071,7;10369984,64;2518,26;-;2852347,3;-;-;1055,47;1057,66;42509;3,4;346;2,77
036 Bacia Leiteira - AL;6791;6874;9352237,98;7216229,42;49544,07;-;2059800,91;-;-;1360,52;1377,15;30487;4,5;288;4,24
037 Reforma - MS;21911;22023;29598439,28;23142413,77;-;-;6456025,51;-;-;1343,98;1350,85;91255;4,2;724;3,3
038 Águas Emendadas - MG;210773;211814;305317053,3;243532149,8;1925725,98;53387,32;58824119,56;53387,32;5010,49;1441,44;1448,56;1189864;5,6;7017;3,33
039 Agreste - AL;31616;32420;56352080,73;44852486,14;59827,45;-;11401094,69;-;-;1738,19;1782,39;180515;5,7;1611;5,1
040 Alto Sertão - AL;10130;10198;11172365,12;8609897,97;77556,81;-;2444310,06;-;-;1095,54;1102,9;56297;5,6;472;4,66
041 Litoral Norte - AL;9506;9682;11936902,6;9215429,08;7156,91;-;2710511,22;-;-;1232,9;1255,72;51750;5,4;443;4,66
042 Médio Sertão - AL;9489;9616;12345858,01;9196119,49;257721,64;-;2756592,61;-;-;1283,89;1301,07;42503;4,5;351;3,7
043 Sisal - BA;38349;38418;43607027,87;32833590,28;793965,71;-;9599556,44;-;576,71;1135,07;1137,11;159563;4,2;1199;3,13
044 Manaus e Entorno - AM;132922;132926;200006518,9;158800072,5;6571,14;-;41196368,69;-;-;1504,65;1504,69;786302;5,9;5578;4,2
045 Entre Rios - PI;79141;79932;111813929,5;88129791,36;656610,78;-;22692877,88;-;-;1398,86;1412,84;443933;5,6;3004;3,8
047 Grande Dourados - MS;28074;28115;42238665,86;32557532,39;8178,2;-;9671074,59;-;-;1502,35;1504,55;121023;4,3;1273;4,53
048 Sertão de Minas - MG;18565;18580;31718632,22;24881294,5;352915,92;200,05;6317207,63;200,05;164,97;1707,14;1708,52;83814;4,5;886;4,77
049 Inhamuns Crateús - CE;39996;40062;39354927,72;30897829,05;294001,63;701,2;8054504,98;701,2;-;982,35;983,97;177505;4,4;1444;3,61
050 Irecê- BA;27827;27837;30608670,78;22934096,12;707483,87;694,72;6605580,83;694,72;748,34;1099,57;1099,96;107187;3,9;931;3,35
051 Vales do Curu e Aracatiaçu - CE;35426;35670;46317138,73;36217607,14;64134,62;-;10012237,65;-;-;1298,49;1307,43;189656;5,4;1255;3,54
052 Lençóis Maranhenses/Munin - MA;18147;18291;17994829,67;14278023,93;7314,16;-;3707246,09;-;-;983,81;991,61;90859;5;448;2,47
053 Madeira Mamoré - RO;42830;42830;64525833,71;53126819,3;-;914,74;11398007,67;914,74;92;1506,56;1506,56;276150;6,4;1562;3,65
054 Mata Sul - PE;28817;28876;43113657,09;32571270,28;753052,24;73668,74;9253235,82;73668,74;39075,44;1493,06;1496,12;143896;5;1371;4,76
055 Mato Grande - RN;15361;15491;23119038,4;17469939,74;184499,46;86042,67;5247037,98;86042,67;37134,76;1492,42;1505,05;72576;4,7;478;3,11
056 Médio Alto Uruguai - RS;22826;22835;27700469,08;22150033,1;62008,56;-;5464517,61;-;-;1213,07;1213,55;98787;4,3;755;3,31
057 Médio Jequitinhonha - MG;21259;21267;23061824,44;18281854,96;132151,01;-;4583731,81;-;-;1084,39;1084,8;95099;4,5;1105;5,2
059 Médio Sertão - PB;12807;12978;16663631,04;12038219,48;540533;298,55;3708761,45;298,55;146,96;1283,99;1301,13;68096;5,3;606;4,73
061 Nordeste Paraense - PA;53092;53094;51497715,03;38633830,75;664079,79;223,91;11815485,96;223,91;41;969,93;969,97;203839;3,8;1127;2,12
062 Noroeste - RJ;26785;27695;62551909,25;51081961;196755,97;-;11172231,8;-;-;2258,6;2335,33;167262;6,2;1449;5,41
063 Noroeste de Minas - MG;20710;20712;27636347,1;21808599,32;125506,63;143,7;5639314,03;143,7;604,28;1334,32;1334,44;96816;4,7;912;4,4
064 Norte - ES;42582;42604;56449963,51;44246799,85;315268,57;-;11727898,47;-;-;1324,99;1325,68;171949;4;1776;4,17
065 Norte - RJ;66167;66468;128166838,7;105000163;109603,1;-;23012670,38;-;-;1928,25;1937,02;420021;6,3;3811;5,76
067 Vale do Rio Vermelho - GO;12425;12536;16739270,13;13324810,5;92791,76;67057,16;3204076,09;67057,16;278,95;1335,3;1347,22;50252;4;446;3,59
068 Paraná Centro - PR;30492;31085;49921659,97;39316796,34;291425,75;533,89;10122547,16;533,89;288,9;1605,97;1637,21;127367;4,2;1175;3,85
070 Planalto Norte - SC;32422;32469;53474843,78;41781448,05;319079,85;-;11201325,25;-;-;1646,95;1649,34;110433;3,4;1388;4,28
073 Pontal do Paranapanema - SP;53584;54681;72830279,33;58591183,05;50236,17;-;14131124,46;-;-;1331,91;1359,18;281544;5,3;2636;4,92
074 Portal da Amazônia - MT;18638;18696;17299167,44;13347684,13;-;-;3951483,31;-;-;925,29;928,17;71377;3,8;537;2,88
075 Região Central - RS;46570;46584;70124529,53;56609582,74;115209,89;-;13355056,67;-;-;1505,34;1505,79;284288;6,1;2482;5,33
076 Seridó - RN;20242;20283;31906112,93;24386533,01;233999,18;80341,32;7102509,74;80341,32;14010,33;1573,05;1576,23;83682;4,1;925;4,57
077 Serra da Capivara - PI;13865;13887;13757005,22;10875776,02;241982,09;-;2530329,16;-;-;990,64;992,21;59302;4,3;387;2,79
079 Serra Geral - MG;24228;24228;33453773,65;26192273,31;341844,78;-;6748745,91;-;-;1380,79;1380,79;92175;3,8;1001;4,13
080 Sertão Central - CE;28241;28323;32225738,51;25631385,62;17772,76;-;6571530,58;-;-;1137,79;1141,1;150243;5,3;1102;3,9
081 Sertão do Araripe - PE;19135;19265;23136962,16;17682028,49;240257,83;-;5082681,8;-;-;1200,98;1209,14;96236;5;639;3,34
082 Sertão do Pajeú - PE;33372;34061;39163876,6;29877946,03;543278,88;9746,67;8435418,95;9746,67;6931,53;1149,82;1173,55;157662;4,7;1169;3,5
083 Sertão do São Francisco - PE;30715;31151;37842008,93;28888788,64;109358,87;-;8788632,67;-;-;1214,79;1232,04;146311;4,8;904;2,94
084 Sertão Ocidental - SE;28218;28321;43418580,18;32110254;1128276,45;-;9569978,31;-;-;1533,09;1538,68;147036;5,2;1508;5,34
085 Sertões de Canindé - CE;12273;12348;14295659,29;11068029,79;18707,42;-;3201092,74;-;-;1157,73;1164,81;59091;4,8;386;3,15
086 Sobral - CE;28549;28565;43070644,54;33084015,88;699100,11;-;9003826,66;-;-;1507,81;1508,66;178450;6,3;1436;5,03
087 Sudeste Paraense - PA;41702;41703;42284826,58;32107099,07;355681,7;35,8;9619969,24;35,8;-;1013,95;1013,98;186116;4,5;1191;2,86
089 Sudoeste Paulista - SP;24612;24694;32647995,87;26248953,17;19938,25;-;6355328,03;-;-;1322,1;1326,51;95764;3,9;1343;5,46
090 Litoral Sul - BA;53079;53094;63015542,64;49105782,05;648786,54;1652,51;12937155,58;1652,51;-;1186,87;1187,2;236735;4,5;2755;5,19
091 Sul de Roraima - RR;4858;4858;4002830,44;3109311,15;-;-;893519,29;-;-;823,97;823,97;24669;5,1;105;2,16
092 Sul do Pará/Alto Xingu - PA;42901;42907;33438534,86;25871818,02;805545,11;-;6304837,66;-;-;779,33;779,43;146116;3,4;674;1,57
094 Centro Oeste - AP;1916;1916;1764804,96;1316195,01;-;-;448609,95;-;-;921,09;921,09;9456;4,9;45;2,35
095 Transamazônica - PA;33058;33061;27843887,79;20930074,76;453679,62;-;6184629,45;-;7910,83;842,2;842,27;131562;4;697;2,11
096 Vale do Guaribas - PI;21099;21221;22075144,15;17612073,06;64898,33;-;4368790,94;-;-;1040,25;1046,26;99705;4,7;714;3,38
097 Vale do Itapecuru - MA;15986;16148;16127483,4;12733840,57;8978,67;-;3383660,32;-;-;998,73;1008,85;81171;5,1;437;2,73
098 Vale do Jamarí - RO;17379;17379;19993664,38;15872985,5;290041,77;11300,9;3652802,29;11300,9;1589;1150,45;1150,45;71757;4,1;477;2,74
099 Vale do Mucuri - MG;32371;32376;42990621,19;34011504,3;9828,77;22,25;8963368,72;22,25;-;1327,85;1328,06;140675;4,3;1460;4,51
100 Vale do Ribeira - SP;32872;32963;43301073,94;34025379,65;204701,76;215,97;8913967,8;215,97;-;1313,63;1317,26;141038;4,3;1586;4,82
101 Vale do Ribeira - PR;11256;11333;22765531,16;17869938,12;85183,62;-;4760924,22;-;-;2008,78;2022,52;41905;3,7;334;2,97
102 Velho Chico - BA;24846;24846;26770053,28;20367362,81;258395,2;5591,69;5992428,16;5591,69;2806,62;1077,44;1077,44;104689;4,2;871;3,51
103 Zona da Mata Norte - PB;27653;27808;46491765,89;35658384,29;771785,73;-;9476147,74;-;-;1671,88;1681,26;156991;5,7;1414;5,11
104 Zona Sul do Estado - RS;51518;52586;96993064,83;77948348,45;110868,26;2225,62;18881668,78;2225,62;345;1844,47;1882,7;416880;8,1;3677;7,14
105 Sul Sergipano - SE;15995;16128;24370192,48;17861632,16;693043,47;-;5442077,43;-;-;1511,05;1523,61;85939;5,4;731;4,57
106 Vale do Juruá - AC;12951;12951;8009969,39;5982654,29;-;-;2027315,1;-;-;618,48;618,48;49192;3,8;263;2,03
107 Jalapão - TO;1959;1959;2620351,94;1934649,02;65104,35;-;583177,6;-;-;1337,6;1337,6;11131;5,7;57;2,91
111 Sul do Amapá - AP;5899;5899;3779597,76;2816432,74;-;-;963165,02;-;-;640,72;640,72;19047;3,2;132;2,24
112 Lagos - AP;990;990;907440,46;688217,73;-;-;219222,73;-;-;916,61;916,61;4881;4,9;27;2,73
114 BR 163 - PA;15858;15858;12159699,95;9135770,68;212069,96;-;2702689,99;-;-;766,79;766,79;66870;4,2;537;3,39
115 Baixada Ocidental - MA;29051;29229;23837063,54;18803607,8;9089,9;-;5023677,78;-;-;815,53;820,52;114424;3,9;714;2,46
117 Baixo Jequitinhonha - MG;14281;14286;14684022,06;11690709,45;80605,96;18,29;2871062,72;18,29;120,48;1027,86;1028,22;63882;4,5;688;4,82
118 Itaparica - BA;17920;18130;22607857,43;17248857,01;197096,6;-;5049303,69;-;-;1246,99;1261,6;92837;5,2;628;3,5
119 Madeira - AM;9412;9412;6586791,76;5077701,53;-;-;1509090,23;-;-;699,83;699,83;33379;3,5;145;1,54
120 Zona da Mata Sul - PB;62370;62751;112372350,9;86453525,86;1530781,35;-;23317341,81;-;-;1790,77;1801,71;387803;6,2;2939;4,71
121 Chapada dos Veadeiros - GO;3253;3268;3718716,18;2938674,69;8633,25;10159,22;755951,49;10159,22;1953,13;1137,92;1143,17;14566;4,5;84;2,58
122 Terra Indíg Raposa S. do Sol S.Marcos - RR;3331;3331;3428274,35;2616658,19;-;-;811616,16;-;-;1029,2;1029,2;18631;5,6;96;2,88
123 Potengi - RN;5213;5250;8273013,7;6227117,04;49078,79;45867,84;1903654,38;45867,84;24551,5;1575,81;1587;23786;4,6;207;3,97
